1;1319.4&825.781;r
1;1298.58&806.906;r
1;1277.66&788.031;r
1;1256.59&769.156;r
1;1235.37&750.281;r
1;1213.99&731.406;r
1;1192.42&712.531;r
1;1170.64&693.656;r
1;1148.65&674.781;r
1;1126.42&655.906;r
1;1103.93&637.031;r
1;1081.18&618.156;r
1;403.549&778.594;l
1;445.674&759.719;l
1;491.24&740.844;l
1;539.386&721.969;l
1;589.252&703.094;l
1;639.979&684.219;l
1;690.708&665.344;l
1;740.577&646.469;l
1;788.728&627.594;l
2;391.56&778.594;l
2;436.66&759.719;l
2;484.954&740.844;l
2;535.684&721.969;l
2;588.093&703.094;l
2;641.423&684.219;l
2;694.916&665.344;l
2;747.813&646.469;l
2;1210.35&731.406;r
2;1190.58&712.531;r
2;1169.76&693.656;r
2;1148.01&674.781;r
2;1125.44&655.906;r
2;1102.14&637.031;r
2;1078.23&618.156;r
2;1053.81&599.281;r
3;1211.04&731.406;r
3;1191.35&712.531;r
3;1169.97&693.656;r
3;1147.51&674.781;r
3;1124.56&655.906;r
3;1101.7&637.031;r
3;905.496&712.531;l
3;916.098&693.656;l
3;929.215&674.781;l
3;942.743&655.906;l
3;954.579&637.031;l
4;1318.79&825.781;r
4;1298.07&806.906;r
4;1277.48&788.031;r
4;1256.88&769.156;r
4;1236.14&750.281;r
4;1215.12&731.406;r
4;1193.68&712.531;r
4;1171.7&693.656;r
4;1149.05&674.781;r
4;1125.58&655.906;r
4;1101.16&637.031;r
4;1075.66&618.156;r
4;905.62&712.531;l
4;913.906&693.656;l
4;925.103&674.781;l
4;939.558&655.906;l
5;1214.49&731.406;r
5;1193.51&712.531;r
5;1172.28&693.656;r
5;1150.61&674.781;r
5;1128.28&655.906;r
5;1105.11&637.031;r
5;1080.9&618.156;r
5;1055.44&599.281;r
5;888.813&731.406;l
5;895.957&712.531;l
5;902.953&693.656;l
5;915.475&674.781;l
5;939.197&655.906;l
6;1212.08&731.406;r
6;1193.22&712.531;r
6;1172.13&693.656;r
6;1149.42&674.781;r
6;1125.75&655.906;r
6;1101.73&637.031;r
6;1078&618.156;r
6;1055.19&599.281;r
6;897.804&703.094;l
6;909.977&684.219;l
6;926.841&665.344;l
6;945.93&646.469;l
6;964.772&627.594;l
7;1213.77&731.406;r
7;1192.43&712.531;r
7;1170.86&693.656;r
7;1148.86&674.781;r
7;1126.26&655.906;r
7;1102.9&637.031;r
7;1078.58&618.156;r
7;1053.14&599.281;r
7;883.911&731.406;l
7;893.141&712.531;l
7;904.014&693.656;l
7;916.649&674.781;l
7;931.168&655.906;l
7;947.689&637.031;l
8;1461.03&872.969;r
8;1407.15&854.094;r
8;1361.21&835.219;r
8;1322.21&816.344;r
8;1289.15&797.469;r
8;1261.05&778.594;r
8;1236.91&759.719;r
8;1215.74&740.844;r
8;1196.53&721.969;r
8;1178.3&703.094;r
8;1160.04&684.219;r
8;1140.78&665.344;r
8;1119.5&646.469;r
8;1095.22&627.594;r
8;1066.94&608.719;r
8;1033.67&589.844;r
8;338.128&731.406;l
8;394.65&712.531;l
8;458.479&693.656;l
8;526.726&674.781;l
8;596.504&655.906;l
9;1450.78&872.969;r
9;1400.45&854.094;r
9;1357.39&835.219;r
9;1320.65&816.344;r
9;1289.29&797.469;r
9;1262.35&778.594;r
9;1238.91&759.719;r
9;1218.02&740.844;r
9;1198.73&721.969;r
9;1180.1&703.094;r
9;1161.2&684.219;r
9;1141.06&665.344;r
9;1118.76&646.469;r
9;1093.35&627.594;r
9;1063.88&608.719;r
9;884.164&731.406;l
9;895.258&712.531;l
9;908.049&693.656;l
9;921.537&674.781;l
9;934.721&655.906;l
9;946.6&637.031;l
10;1214.08&731.406;r
10;1192.78&712.531;r
10;1170.95&693.656;r
10;1148.64&674.781;r
10;1125.91&655.906;r
10;1102.8&637.031;r
10;1079.35&618.156;r
10;882.177&731.406;l
10;893.777&712.531;l
10;904.935&693.656;l
10;916.819&674.781;l
10;930.598&655.906;l
10;947.44&637.031;l
11;1397.57&854.094;r
11;1358.87&835.219;r
11;1324.86&816.344;r
11;1294.85&797.469;r
11;1268.16&778.594;r
11;1244.12&759.719;r
11;1222.03&740.844;r
11;1201.21&721.969;r
11;1180.98&703.094;r
11;1160.66&684.219;r
11;1139.56&665.344;r
11;1117&646.469;r
11;1092.3&627.594;r
11;1064.77&608.719;r
11;881.471&731.406;l
11;894.7&712.531;l
11;908.753&693.656;l
11;923.637&674.781;l
11;939.36&655.906;l
11;955.931&637.031;l
12;1217.24&731.406;r
12;1195.47&712.531;r
12;1172.37&693.656;r
12;1148.65&674.781;r
12;1125.04&655.906;r
12;1102.26&637.031;r
12;892.166&731.406;l
12;903.26&712.531;l
12;916.051&693.656;l
12;929.539&674.781;l
12;942.723&655.906;l
12;954.602&637.031;l
13;1220.22&731.406;r
13;1196.09&712.531;r
13;1171.61&693.656;r
13;1147.25&674.781;r
13;1123.48&655.906;r
13;1100.76&637.031;r
13;895.2&731.406;l
13;908.262&712.531;l
